rec,_RAJ2000,_DEJ2000
1434,176.1810417,64.5830833
1441,176.3327917,26.8739444
1442,176.349375,20.3254167
1444,176.3760833,9.7291111
1446,176.407625,62.2370833
1447,176.4277917,21.4398611
1450,176.508,55.4196389
1452,176.5127917,19.437
1454,176.5461667,37.1150556
1456,176.5820833,35.00375
1461,176.7834167,16.2488333
1469,176.9320417,1.8262222
1471,176.945,36.4376667
1474,176.968625,19.1553333
1476,177.0305417,37.4526389
1479,177.2081667,60.1953889
1487,177.3762083,21.0434722
1492,177.6355,55.058
1498,177.8443333,0.1173056
1505,178.1272083,20.6254722
1511,178.3159167,47.3355278
1526,178.7645,24.0125278
1529,178.8777083,-1.2614167
1538,179.2701667,52.8176667
1541,179.3612917,7.4609444
1544,179.47275,41.9371667
1550,179.6400833,-2.1356667
1552,179.6859583,28.2895
1557,179.8036667,-0.5238333
1558,179.8127917,34.5782222
1562,179.9632083,34.90575
1563,180.0132083,8.1817222
1564,180.0342917,42.4271944
1572,180.269625,56.3702222
1577,180.5956667,4.3298056
1579,180.7434583,56.7505
1581,180.7712083,5.1746944
1586,180.9349167,1.8359722
1591,181.136625,22.2748056
1592,181.1805,31.1772778
1593,181.1966667,-2.7200833
1594,181.2046667,14.4960278
1595,181.2199583,58.2190278
1599,181.3369167,2.5342778
1601,181.398125,22.3089722
1604,181.538,-2.9481389
1605,181.5504583,21.2261944
1612,181.7140833,20.8187222
1614,181.7697917,9.1133056
1616,181.7853333,32.9958889
1617,181.8195417,32.0756111
1618,181.8274583,16.8414444
1619,181.8565,29.1468611
1621,181.8859167,32.813
1625,182.0160417,0.3788056
1627,182.09975,11.1766111
1628,182.1075,22.4166389
1634,182.2828333,37.1109167
1635,182.3612917,40.8318333
1637,182.387125,17.0142778
1638,182.4154167,62.8550556
1640,182.49225,19.9187222
1651,182.760625,36.9983056
1655,182.8415417,19.0884444
1668,183.2010833,-2.7246111
1670,183.263875,21.0240833
1674,183.3969167,35.8001667
1677,183.5352083,19.3366389
1680,183.5870833,32.4496111
1682,183.6283333,26.9410833
1685,183.6598333,43.5361944
1687,183.848875,20.3538056
1690,183.920875,65.6593611
1694,183.9795417,23.5955556
1698,184.0774167,60.5005556
1702,184.161625,33.5608889
1706,184.2475,27.0961944
1714,184.5477917,28.5443889
1719,184.826375,30.3419722
1726,185.0415,8.6446389
1731,185.1805417,50.8575278
1735,185.2129167,8.3216389
1743,185.44,10.5956389
1745,185.4768333,31.6808611
1746,185.5292917,55.8191111
1754,185.8185417,57.4840278
1755,185.8794583,55.6565278
1758,186.0044167,36.1558889
1763,186.2041667,8.8002778
1765,186.2787917,60.5589722
1766,186.3093333,16.1203056
1770,186.345375,31.8265556
1772,186.3529583,52.5281111
1773,186.400875,45.0838611
1781,186.6249583,54.1792222
1784,186.6724583,30.2400556
1788,186.7478333,22.6395833
1790,186.7800833,51.8871667
1791,186.782125,-1.3541944
1796,186.9682083,9.0578889
1797,187.047375,59.5129444
1806,187.1799167,53.3576944
1812,187.386625,11.2155
1826,188.0892083,56.6564167
1835,188.4687083,38.4178056
1837,188.541875,20.2111667
1841,188.6814583,9.0047222
1842,188.6936667,39.5883056
1844,188.74725,50.8511111
1845,188.798625,59.0479167
1849,189.0004583,54.2209722
1850,189.0652083,47.8070278
1852,189.13075,23.4260556
1853,189.2247083,27.7491111
1855,189.3378333,28.2081667
1863,189.739625,43.5508889
1868,190.1459167,2.4681389
1874,190.381125,26.0426667
1876,190.394625,44.4914167
1882,190.4965833,-3.5834167
1890,190.9119583,44.0944444
1892,190.96825,29.7808611
1893,190.9709167,26.8633333
1895,191.0595,50.2316667
1898,191.167875,1.8486111
1903,191.3856667,35.1260278
1906,191.6118333,50.7920556
1908,191.6930833,9.8505556
1914,191.8304583,0.4048333
1929,192.2448333,40.5959167
1930,192.2687917,36.4890833
1938,192.617,27.4349167
1944,192.859,27.4212778
1948,193.0015,26.1591667
1950,193.0374583,27.4772778
1956,193.26225,32.107
1965,193.6373333,28.3767778
1967,193.6932917,35.4049722
1971,193.854375,27.7980278
1977,194.1160833,26.9873333
